Nome,Nome Popular,Cidade,Estado (UF),Fundação,Série A,Série B,Série C,Série D
Grêmio Foot-Ball Porto Alegrense,Grêmio,Porto Alegre,RS,15/09/1903,62,2,0,0
Santos Futebol Clube,Santos,Santos,SP,14/04/1912,61,0,0,0
Cruzeiro Esporte Clube,Cruzeiro,Belo Horizonte,MG,02/01/1921,59,2,0,0
Sociedade Esportiva Palmeiras,Palmeiras,São Paulo ,SP,26/08/1914,58,4,0,0
Clube Atlético Mineiro,Atlético Mineiro,Belo Horizonte,MG,25/03/1908,58,1,0,0
Botafogo de Futebol e Regatas,Botafogo,Rio de Janeiro,RJ,01/07/1894,56,3,0,0
Clube de Regatas do Flamengo,Flamengo,Rio de Janeiro,RJ,15/11/1895,56,0,0,0
Fluminense Football Club,Fluminense,Rio de Janeiro,RJ,21/07/1902,55,1,1,0
Sport Club Internacional,Internacional,Porto Alegre,RS,04/04/1909,55,1,0,0
São Paulo Futebol Clube,São Paulo,São Paulo ,SP,25/01/1930,54,0,0,0
Club de Regatas Vasco da Gama,Vasco da Gama,Rio de Janeiro,RJ,21/08/1898,53,4,0,0
Sport Club Corinthians Paulista,Corinthians,São Paulo ,SP,01/09/1910,53,2,0,0
Esporte Clube Bahia,Bahia,Salvador,BA,,49,10,2,0
Club Athletico Paranaense,Athletico Paranaense,Curitiba,PR,,45,6,0,0
Sport Club do Recife,Sport,Recife,PE,13/05/1905,42,12,0,0
Goiás Esporte Clube,Goiás,Goiânia,GO,,41,10,0,0
Coritiba Foot Ball Club,Coritiba,Curitiba,PR,12/10/1909,40,13,0,0
Esporte Clube Vitória,Vitória,Salvador,BA,13/05/1899,39,11,2,2
Associação Portuguesa de Desportos,Portuguesa,São Paulo ,SP,14/08/1920,35,11,2,2
Clube Náutico Capibaribe,Náutico,Recife,PE,,34,22,3,0
Guarani Futebol Clube,Guarani,Campinas,SP,02/04/1911,29,15,6,0
Paysandu Sport Club,Paysandu,Belém,PA,,27,18,11,0
Ceará Sporting Club,Ceará,Fortaleza,CE,02/06/1914,25,30,0,0
Santa Cruz Futebol Clube,Santa Cruz,Recife,PE,03/02/1914,24,20,7,3
Associação Atlética Ponte Preta,Ponte Preta,Campinas,SP,11/08/1911,24,20,1,0
Fortaleza Esporte Clube,Fortaleza,Fortaleza,CE,18/10/1918,23,18,14,0
Centro Sportivo Alagoano,CSA,Maceió,AL,07/09/1913,19,11,13,5
America Football Club,America-RJ,Rio de Janeiro,RJ,,19,5,11,1
América Futebol Clube,América Mineiro,Belo Horizonte,MG,,17,26,5,0
Figueirense Futebol Clube,Figueirense,Florianópolis,SC,12/06/1921,17,13,9,0
Esporte Clube Juventude,Juventude,Caxias do Sul,RS,,17,13,5,3
Clube do Remo,Remo,Belém,PA,05/02/1905,16,22,7,4
Paraná Clube,Paraná,Curitiba,PR,19/12/1989,16,15,2,0
Nacional Futebol Clube,Nacional-AM,Manaus,AM,13/01/1913,16,6,10,7
América Futebol Clube,América-RN,Natal,RN,,15,24,6,5
Associação Desportiva Ferroviária Vale do Rio Doce,Desportiva Ferroviária,Cariacica,ES ,,15,15,2,2
ABC Futebol Clube,ABC,Natal,RN,26/06/1915,14,21,11,2
Criciúma Esporte Clube,Criciúma,Criciúma,SC,13/05/1947,13,24,5,0
Joinville Esporte Clube,Joinville,Joinville,SC,,12,20,8,4
Sampaio Corrêa Futebol Clube,Sampaio Corrêa,São Luíz,MA,25/03/1923,12,18,12,3
Atlético Clube Goianiense,Atlético Goianiense,Goiânia,GO,02/04/1937,12,17,12,0
Clube Esportivo Sergipe,Sergipe,Aracaju,SE,,12,9,10,7
Rio Branco Atlético Clube,Rio Branco-ES,Vitória,ES,21/06/1913,12,4,5,4
Clube de Regatas Brasil,CRB,Maceió,AL,20/09/1912,11,31,6,0
Red Bull Bragantino,RB Bragantino,Bragança Paulista,SP,,11,15,4,0
Moto Club de São Luís,Moto Club,São Luís,MA,13/09/1937,11,13,9,7
Bangu Atlético Clube,Bangu,Rio de Janeiro,RJ,,11,8,5,3
Campinense Clube,Campinense,Campina Grande,PB,12/04/1915,11,7,9,9
Avaí Futebol CLube,Avaí,Florianópolis,SC,01/09/1923,10,23,4,0
Operário Futebol Clube,Operário-MS,Campo Grande,MS,,10,6,8,1
Vila Nova Futebol Clube,Vila Nova,Goiânia,GO,,9,23,9,0
Treze Futebol Clube,Treze,Campina Grande,PB,07/09/1925,9,9,15,6
Associação Chapecoense de Futebol,Chapecoense,Chapecó,SC,10/05/1973,9,4,9,1
Americano Futebol Clube,Americano,Campos dos Goytacazes,RJ,01/06/1914,8,20,5,1
Associação Desportiva Confiança,Confiança,Aracaju,SE,01/05/1936,8,10,20,2
River Atlético Clube,River,Teresina,PI,01/03/1946,8,10,9,5
Mixto Esporte Clube,Mixto,Cuiabá,MT,,8,6,5,3
Londrina Esporte Clube,Londrina,Londrina,PR,05/04/1956,7,25,3,3
Associação Desportiva São Caetano,São Caetano,São Caetano do SUl,SP,04/12/1989,7,9,2,3
Atlético Rio Negro Clube,Rio Negro-AM,Manaus,AM,13/11/1913,7,8,8,0
Botafogo Futebol Clube,Botafogo-PB,João Pessoa,PB,28/09/1931,7,5,18,1
Esporte Clube Flamengo,Flamengo-PI,Teresina,PI,,7,4,5,2
Associação Atlética Internacional de Limeira,Inter de Limeira,Limeira,SP,05/10/1913,7,4,5,1
Brasília Futebol Clube,Brasília,Brasília,DF,02/06/1975,7,3,3,3
Botafogo Futebol Clube,Botafogo-SP,Ribeirão Preto,SP,12/10/1918,6,16,7,3
