Fase,Data,Horário,Mandante,Visitante,Mandante Placar,Visitante Placar
1F,1959-08-23,00:00,Ferroviário-MA,Tuna Luso,1,3
1F,1959-08-23,00:00,Rio Branco-ES,Manufatora-RJ,3,0
1F,1959-08-23,00:00,Hercílio Luz,Atlético Paranaense,1,2
1F,1959-08-23,00:00,CSA,Bahia,0,5
1F,1959-08-23,00:00,Auto Esporte-PB,Sport,0,3
1F,1959-08-23,00:00,ABC,Ceará,1,1
1F,1959-08-30,00:00,Sport,Auto Esporte-PB,5,2
1F,1959-08-30,00:00,Tuna Luso,Ferroviário-MA,1,3
1F,1959-08-30,00:00,Manufatora-RJ,Rio Branco-ES,0,1
1F,1959-08-30,00:00,Atlético Paranaense,Hercílio Luz,1,0
1F,1959-08-30,00:00,Bahia,CSA,2,0
1F,1959-08-30,00:00,Ceará,ABC,0,0
1F,1959-09-01,00:00,Tuna Luso,Ferroviário-MA,1,0
1F,1959-09-01,00:00,Ceará,ABC,2,1
2F,1959-09-13,00:00,Rio Branco-ES,Atlético Mineiro,2,2
2F,1959-09-13,00:00,Grêmio,Atlético Paranaense,1,0
2F,1959-09-20,00:00,Atlético Mineiro,Rio Branco-ES,2,1
2F,1959-09-20,00:00,Ceará,Bahia,0,0
2F,1959-09-24,00:00,Sport,Tuna Luso,3,1
2F,1959-09-27,00:00,Bahia,Ceará,2,2
2F,1959-09-27,00:00,Tuna Luso,Sport,2,2
2F,1959-09-27,00:00,Atlético Paranaense,Grêmio,0,1
2F,1959-09-29,00:00,Bahia,Ceará,2,1
3F,1959-10-18,00:00,Atlético Mineiro,Grêmio,1,4
3F,1959-10-25,00:00,Grêmio,Atlético Mineiro,1,0
3F,1959-10-27,00:00,Bahia,Sport,3,2
3F,1959-10-30,00:00,Sport,Bahia,6,0
3F,1959-11-03,00:00,Sport,Bahia,0,2
SF,1959-11-17,00:00,Santos,Grêmio,4,1
SF,1959-11-19,00:00,Vasco,Bahia,0,1
SF,1959-11-24,00:00,Bahia,Vasco,1,2
SF,1959-11-25,00:00,Grêmio,Santos,0,0
SF,1959-11-26,00:00,Bahia,Vasco,1,0
F,1959-12-10,00:00,Santos,Bahia,2,3
F,1959-12-30,00:00,Bahia,Santos,0,2
F,1960-03-29,16:00,Bahia,Santos,3,1
1F,1961-07-09,16:15,Fonseca-RJ,America-RJ,0,0
1F,1961-07-12,22:25,Palmeiras,Coritiba,2,0
1F,1961-07-13,22:30,America-RJ,Fonseca-RJ,3,0
1F,1961-07-16,17:00,Fortaleza,ABC,3,1
1F,1961-07-16,17:15,Remo,Moto Club,4,0
1F,1961-07-20,00:00,Santa Cruz-SE,Bahia,0,2
1F,1961-07-23,16:25,Santo Antônio-ES,Cruzeiro,1,3
1F,1961-07-23,16:30,Coritiba,Palmeiras,3,1
1F,1961-07-23,16:50,ABC,Fortaleza,1,1
1F,1961-07-23,16:50,CSA,Campinense,2,3
1F,1961-07-23,17:05,Moto Club,Remo,3,3
1F,1961-07-30,17:00,Campinense,CSA,2,1
1F,1961-07-30,17:00,Cruzeiro,Santo Antônio-ES,2,1
1F,1961-08-02,16:35,Metropol,Grêmio,1,6
1F,1961-08-03,21:30,Bahia,Santa Cruz-SE,3,1
1F,1961-08-09,21:15,Grêmio,Metropol,2,3
1F,1961-08-09,21:20,Palmeiras,Coritiba,4,1
2F,1961-08-13,16:05,Remo,Fortaleza,1,0
1F,1961-08-16,21:15,Grêmio,Metropol,3,1
2F,1961-08-20,16:05,Fortaleza,Remo,2,1
2F,1961-08-23,21:00,Fortaleza,Remo,2,0
2F,1961-08-23,21:30,America-RJ,Cruzeiro,2,1
2F,1961-08-30,21:15,Cruzeiro,America-RJ,1,1
2F,1961-09-20,21:15,Grêmio,Palmeiras,0,3
2F,1961-09-24,00:00,CSA,Bahia,0,3
2F,1961-09-27,21:30,Palmeiras,Grêmio,1,1
2F,1961-09-29,00:00,Bahia,CSA,1,0
3F,1961-10-15,16:00,Palmeiras,America-RJ,1,1
3F,1961-10-18,21:30,America-RJ,Palmeiras,2,1
3F,1961-10-26,21:15,Bahia,Fortaleza,2,0
