Fase,Data,Horário,Mandante,Visitante,Placar Mandante,Placar Visitante
Grp.A,1980-02-23,,Corinthians,Joinville,3,2
Grp.C,1980-02-23,,Internacional,Itabaiana,1,2
Grp.C,1980-02-24,,São Paulo-RS,Botafogo-PB,3,2
Grp.C,1980-02-24,,Santos,Flamengo,0,1
Grp.B,1980-02-24,,América-RN,Vila Nova,1,0
Grp.B,1980-02-24,,Fluminense,Atlético Mineiro,2,3
Grp.C,1980-02-24,,Náutico,Ferroviário,0,0
Grp.D,1980-02-24,,Nacional-AM,Santa Cruz,0,2
Grp.D,1980-02-24,,Atlético Goianiense,Coritiba,1,1
Grp.D,1980-02-24,,Grêmio,São Paulo,0,0
Grp.C,1980-02-24,,Mixto,Ponte Preta,1,3
Grp.B,1980-02-24,,Desportiva Ferroviária,Guarani,1,0
Grp.D,1980-02-24,,Gama,Maranhão,2,0
Grp.A,1980-02-24,,Portuguesa,Bahia,1,0
Grp.B,1980-02-24,,Ceará,Flamengo-PI,2,1
Grp.A,1980-02-24,,Operário-MS,Cruzeiro,1,1
Grp.A,1980-02-24,,Colorado,CRB,2,0
Grp.A,1980-02-24,,Remo,Botafogo,1,3
Grp.B,1980-02-24,,Palmeiras,Vitória,1,1
Grp.B,1980-02-27,,Guarani,Fluminense,1,2
Grp.B,1980-02-27,,Flamengo-PI,Vitória,0,0
Grp.B,1980-02-27,,Vila Nova,Desportiva Ferroviária,1,0
Grp.B,1980-02-27,,Ceará,América-RN,1,1
Grp.B,1980-02-27,,Atlético Mineiro,Palmeiras,2,0
Grp.A,1980-02-27,,Cruzeiro,Remo,0,0
Grp.A,1980-02-27,,Botafogo,Portuguesa,4,0
Grp.A,1980-02-27,,CRB,Joinville,2,0
Grp.A,1980-02-27,,Bahia,Corinthians,2,3
Grp.A,1980-02-27,,Colorado,Operário-MS,2,0
Grp.C,1980-02-27,,Botafogo-PB,Itabaiana,2,1
Grp.D,1980-02-27,,São Paulo,Vasco,1,2
Grp.D,1980-02-27,,Santa Cruz,Atlético Goianiense,3,1
Grp.D,1980-02-27,,Coritiba,Grêmio,2,2
Grp.D,1980-02-27,,Maranhão,America-RJ,0,1
Grp.C,1980-02-27,,Ferroviário,Santos,1,1
Grp.D,1980-02-27,,Gama,Nacional-AM,0,2
Grp.C,1980-02-27,,Internacional,Mixto,3,1
Grp.C,1980-03-01,,Náutico,Botafogo-PB,0,1
Grp.D,1980-03-01,,America-RJ,Grêmio,2,4
Grp.A,1980-03-01,,Bahia,CRB,1,0
Grp.A,1980-03-01,,Cruzeiro,Colorado,0,0
Grp.D,1980-03-01,,São Paulo,Maranhão,2,0
Grp.A,1980-03-02,,Operário-MS,Remo,0,1
Grp.A,1980-03-02,,Joinville,Portuguesa,4,1
Grp.A,1980-03-02,,Corinthians,Botafogo,2,0
Grp.B,1980-03-02,,Palmeiras,Guarani,0,0
Grp.D,1980-03-02,,Santa Cruz,Gama,1,1
Grp.C,1980-03-02,,Ponte Preta,Ferroviário,0,0
Grp.D,1980-03-02,,Nacional-AM,Atlético Goianiense,0,0
Grp.D,1980-03-02,,Vasco,Coritiba,0,1
Grp.B,1980-03-02,,Vitória,Fluminense,1,1
Grp.C,1980-03-02,,Itabaiana,Santos,0,2
Grp.C,1980-03-02,,Flamengo,Internacional,1,0
Grp.B,1980-03-02,,Vila Nova,Ceará,0,0
Grp.C,1980-03-02,,São Paulo-RS,Mixto,1,1
Grp.B,1980-03-02,,América-RN,Desportiva Ferroviária,1,1
Grp.B,1980-03-02,,Atlético Mineiro,Flamengo-PI,2,0
Grp.C,1980-03-05,,Internacional,Ferroviário,3,2
Grp.C,1980-03-05,,Santos,Ponte Preta,2,1
Grp.C,1980-03-05,,Itabaiana,São Paulo-RS,2,0
Grp.D,1980-03-05,,Coritiba,Maranhão,2,0
Grp.B,1980-03-05,,Vitória,Ceará,0,5
Grp.C,1980-03-05,,Mixto,Náutico,3,1
Grp.A,1980-03-05,,Operário-MS,Corinthians,0,1
Grp.A,1980-03-05,,Remo,Bahia,1,1
Grp.A,1980-03-05,,Botafogo,CRB,3,1
Grp.A,1980-03-05,,Joinville,Colorado,1,1
Grp.B,1980-03-05,,Fluminense,Vila Nova,4,0
Grp.B,1980-03-05,,Desportiva Ferroviária,Atlético Mineiro,1,4
Grp.B,1980-03-05,,Guarani,Flamengo-PI,3,0
Grp.D,1980-03-05,,Vasco,Nacional-AM,1,0
Grp.D,1980-03-06,,America-RJ,Gama,0,0
Grp.D,1980-03-06,,Grêmio,Santa Cruz,0,0
Grp.C,1980-03-06,,Flamengo,Botafogo-PB,1,2
Grp.B,1980-03-06,,Palmeiras,América-RN,4,1
Grp.C,1980-03-08,,Náutico,Internacional,0,2
Grp.C,1980-03-08,,Ferroviário,Itabaiana,2,1
