Fase,Data,Horário,Mandante,Visitante,Placar Mandante,Placar Visitante
Grp.A,1987-09-12,,Botafogo,Goiás,1,0
Grp.A,1987-09-13,,Treze,Atlético Paranaense,0,0
Grp.A,1987-09-13,,CSA,Guarani,0,1
Grp.A,1987-09-13,,Bangu,Joinville,1,1
Grp.A,1987-09-13,,Internacional,Santa Cruz,4,0
Grp.A,1987-09-13,,Criciúma,Ceará,1,2
Grp.A,1987-09-13,,Corinthians,Fluminense,0,1
Grp.A,1987-09-13,,Bahia,Vasco,0,3
Grp.A,1987-09-13,,Atlético Mineiro,Santos,5,1
Grp.A,1987-09-13,,Coritiba,Grêmio,0,1
Grp.A,1987-09-13,,Flamengo,São Paulo,0,2
Grp.A,1987-09-16,,Sport,Atlético Paranaense,1,1
Grp.A,1987-09-16,,Treze,Guarani,1,3
Grp.A,1987-09-16,,Atlético Paranaense,Bangu,1,2
Grp.A,1987-09-16,,Inter de Limeira,Ceará,1,0
Grp.A,1987-09-16,,Joinville,Treze,0,0
Grp.A,1987-09-16,,Atlético Goianiense,CSA,3,1
Grp.A,1987-09-16,,Sport,Criciúma,3,0
Grp.A,1987-09-16,,Vitória,Joinville,3,1
Grp.A,1987-09-17,,Criciúma,Náutico,2,0
Grp.A,1987-09-18,,Corinthians,Goiás,0,1
Grp.A,1987-09-19,,Vitória,Atlético Paranaense,1,2
Grp.A,1987-09-19,,Rio Branco-ES,CSA,0,1
Grp.A,1987-09-19,,Atlético Mineiro,Internacional,0,0
Grp.A,1987-09-20,,Inter de Limeira,Treze,2,1
Grp.A,1987-09-20,,Atlético Goianiense,Ceará,1,0
Grp.A,1987-09-20,,Sport,Guarani,2,0
Grp.A,1987-09-20,,Criciúma,Bangu,1,0
Grp.A,1987-09-20,,Santa Cruz,Coritiba,0,0
Grp.A,1987-09-20,,Grêmio,Cruzeiro,0,0
Grp.A,1987-09-20,,Santos,Palmeiras,0,0
Grp.A,1987-09-20,,Fluminense,Botafogo,1,1
Grp.A,1987-09-20,,Joinville,Náutico,2,1
Grp.A,1987-09-20,,Flamengo,Vasco,2,1
Grp.A,1987-09-20,,Bahia,São Paulo,1,1
Grp.A,1987-09-23,,Cruzeiro,Bahia,2,1
Grp.A,1987-09-23,,Grêmio,Vasco,1,0
Grp.A,1987-09-23,,Coritiba,Corinthians,2,1
Grp.A,1987-09-23,,São Paulo,Santa Cruz,3,0
Grp.A,1987-09-23,,Fluminense,Palmeiras,2,0
Grp.A,1987-09-24,,Santos,Flamengo,0,0
Grp.A,1987-09-24,,Botafogo,Internacional,0,0
Grp.A,1987-09-24,,Náutico,Rio Branco-ES,0,1
Grp.A,1987-09-26,,Goiás,Santa Cruz,1,0
Grp.A,1987-09-26,,Palmeiras,São Paulo,2,1
Grp.A,1987-09-26,,Coritiba,Bahia,2,1
Grp.A,1987-09-26,,Fluminense,Grêmio,0,0
Grp.A,1987-09-27,,Cruzeiro,Botafogo,1,1
Grp.A,1987-09-27,,Guarani,Vitória,0,1
Grp.A,1987-09-27,,Bangu,Inter de Limeira,1,0
Grp.A,1987-09-27,,Internacional,Flamengo,2,0
Grp.A,1987-09-27,,Vasco,Atlético Mineiro,1,2
Grp.A,1987-09-27,,Atlético Paranaense,CSA,1,1
Grp.A,1987-09-27,,Náutico,Atlético Goianiense,2,1
Grp.A,1987-09-27,,Ceará,Rio Branco-ES,1,1
Grp.A,1987-09-27,,Corinthians,Santos,0,0
Grp.A,1987-09-27,,Treze,Criciúma,2,1
Grp.A,1987-09-27,,Joinville,Sport,0,1
Grp.A,1987-09-30,,Portuguesa,Sport,1,1
Grp.A,1987-09-30,,Goiás,Atlético Mineiro,0,1
