Clube,Nome Completo,Apelido,Cidade,UF,Formacao,Fundacao,Série A,R_a,Série B,P_b,R_b,Série C,P_c,R_c,Série D,P_d
Grêmio,Grêmio Foot-Ball Porto Alegrense,Rei de Copas,Porto Alegre,RS,1903-09-15,1903-09-15,62,2,2,2,–,0,–,–,0,–
Santos,-,-,Santos,SP,-,-,61,–,0,–,–,0,–,–,0,–
Cruzeiro,-,-,Belo Horizonte,MG,-,-,59,1,2,–,–,0,–,–,0,–
Palmeiras,Sociedade Esportiva Palmeiras,Periquito,São Paulo,SP,1914-08-26,1914-08-26,58,2,4,3,–,0,–,–,0,–
Atlético Mineiro,-,-,Belo Horizonte,MG,-,-,58,1,1,1,–,0,–,–,0,–
Botafogo,Botafogo de Futebol e Regatas,A Estrela Solitária,Rio de Janeiro,RJ,1904-08-12,1904-08-12,56,3,3,2,–,0,–,–,0,–
Flamengo,Clube de Regatas do Flamengo,Rubro-Negro,Rio de Janeiro,RJ,1895-11-15,1895-11-15,56,–,0,–,–,0,–,–,0,–
Fluminense,-,-,Rio de Janeiro,RJ,-,-,55,1,1,–,1,1,1,–,0,–
Internacional,Sport Club Internacional,Clube do Povo,Porto Alegre,RS,1909-04-04,1909-04-04,55,1,1,1,–,0,–,–,0,–
São Paulo,-,-,São Paulo,SP,-,-,54,–,0,–,–,0,–,–,0,–
Vasco da Gama,-,-,Rio de Janeiro,RJ,-,-,53,4,4,3,–,0,–,–,0,–
Corinthians,Sport Club Corinthians Paulista,Coringão,São Paulo,SP,1910-09-01,1910-09-01,53,1,2,2,–,0,–,–,0,–
Bahia,Esporte Clube Bahia,Esquadrão de aço,Salvador,BA,1931-01-01,1931-01-01,49,3,10,4,1,2,1,–,0,–
Athletico Paranaense,Club Athletico Paranaense,Furacão,Curitiba,PR,1924-03-26,1924-03-26,45,3,6,4,–,0,–,–,0,–
Sport,Sport Club do Recife,Leão da Ilha,Recife,PE,1905-05-13,1905-05-13,42,5,12,6,–,0,–,–,0,–
Goiás,Goiás Esporte Clube,Verdão,Goiânia,GO,1943-04-06,1943-04-06,41,6,10,4,–,0,–,–,0,–
Coritiba,Coritiba Foot Ball Club,Glorioso,Curitiba,PR,1909-10-12,1909-10-12,40,6,13,5,–,0,–,–,0,–
Vitória,Esporte Clube Vitória,Rubro-negro,Salvador,BA,1899-05-13,1899-05-13,39,6,11,4,1,1,1,–,0,–
Portuguesa,Associação Portuguesa de Desportos,Rubro-Verde,São Paulo,SP,1920-08-14,1920-08-14,35,3,11,2,1,2,–,1,2,–
Náutico,Clube Náutico Capibaribe,Timbu,Recife,PE,1901-04-07,1901-04-07,34,4,22,4,2,3,2,–,0,–
Guarani,-,-,Campinas,SP,-,-,29,3,15,4,2,6,2,–,0,–
Paysandu,Paysandu Sport Club,Alviceleste,Belém,PA,1914-02-02,1914-02-02,27,3,18,2,3,11,2,–,0,–
Ceará,Ceará Sporting Club,Alvinegro Cearense,Fortaleza,CE,1914-06-02,1914-06-02,25,2,30,3,–,0,–,–,0,–
