Fase,Data,Horário,Mandante,Visitante,Placar Mandante,Placar Visitante
1,2000-07-29,16h00,Fluminense,Bahia,2,0
1,2000-07-29,16h00,Vasco,Sport,0,2
1,2000-07-29,16h00,Vitória,Palmeiras,4,1
1,2000-07-30,17h00,Botafogo-RJ,Atlético-MG,0,0
1,2000-07-30,18h30,Juventude,Flamengo,1,1
1,2000-07-30,16h00,Guarani,Santa Cruz,0,0
1,2000-07-30,17h00,Cruzeiro,Athlético-PR,0,2
1,2000-07-30,16h00,América-MG,Gama,0,1
1,2000-07-30,18h30,Goiás,Corinthians,3,0
2,2000-08-02,20h30,Coritiba,Sport,0,0
2,2000-08-02,20h30,Bahia,Athlético-PR,2,1
2,2000-08-02,21h40,Flamengo,Grêmio,3,0
2,2000-08-02,20h30,Gama,Fluminense,2,1
2,2000-08-02,20h30,Internacional,Goiás,0,1
2,2000-08-02,20h30,Ponte Preta,América-MG,3,1
2,2000-08-02,20h30,Santos,Vitória,2,0
2,2000-08-03,20h30,Palmeiras,Botafogo-RJ,0,0
3,2000-08-05,16h00,Athlético-PR,Flamengo,1,1
3,2000-08-05,18h00,Corinthians,Gama,4,2
3,2000-08-05,16h00,Fluminense,Santos,2,1
3,2000-08-06,16h00,Atlético-MG,Bahia,0,0
3,2000-08-06,17h00,Vasco,Cruzeiro,3,3
3,2000-08-06,16h00,Juventude,Ponte Preta,1,1
3,2000-08-06,18h30,Coritiba,Botafogo-RJ,0,2
3,2000-08-06,16h00,Portuguesa,Goiás,0,2
3,2000-08-06,18h30,Grêmio,Palmeiras,0,1
3,2000-08-06,17h00,São Paulo,Santa Cruz,2,1
4,2000-08-09,21h40,Internacional,Fluminense,1,1
4,2000-08-09,20h30,Bahia,Grêmio,1,1
4,2000-08-09,20h30,Flamengo,Guarani,1,1
4,2000-08-09,20h30,Santos,São Paulo,1,1
4,2000-08-09,20h30,Gama,Athlético-PR,0,1
4,2000-08-09,20h30,Botafogo-RJ,Portuguesa,4,1
4,2000-08-09,20h30,Goiás,Coritiba,1,0
4,2000-08-09,20h30,Santa Cruz,Vitória,2,1
5,2000-08-11,20h30,Palmeiras,Goiás,1,1
5,2000-08-11,20h30,Athlético-PR,Atlético-MG,2,1
5,2000-08-11,20h30,Vasco,Corinthians,1,0
6,2000-08-12,16h00,Coritiba,Gama,0,1
6,2000-08-12,18h00,Grêmio,Santos,0,2
6,2000-08-12,18h00,São Paulo,Flamengo,3,2
6,2000-08-13,18h30,Sport,Cruzeiro,1,1
6,2000-08-13,18h30,Athlético-PR,Palmeiras,0,0
6,2000-08-13,17h00,Corinthians,Santa Cruz,2,0
6,2000-08-13,17h00,Botafogo-RJ,Internacional,0,1
6,2000-08-13,16h00,Portuguesa,Juventude,2,0
6,2000-08-13,18h30,Guarani,Vasco,0,1
6,2000-08-13,16h00,Goiás,Vitória,4,5
7,2000-08-16,20h30,Internacional,Atlético-MG,1,1
7,2000-08-16,20h30,Fluminense,Guarani,0,0
7,2000-08-16,22h00,Cruzeiro,São Paulo,2,2
7,2000-08-16,22h00,Santa Cruz,Vasco,1,1
7,2000-08-16,20h30,Gama,Bahia,0,1
7,2000-08-16,20h30,Palmeiras,Corinthians,0,1
7,2000-08-16,20h30,Goiás,Botafogo-RJ,3,2
7,2000-08-16,20h30,Santos,América-MG,3,0
7,2000-08-16,20h30,Vitória,Portuguesa,2,0
7,2000-08-17,20h30,Flamengo,Coritiba,2,1
8,2000-08-19,15h45,América-MG,Fluminense,1,1
8,2000-08-19,18h00,Gama,Goiás,1,1
8,2000-08-19,15h45,Atlético-MG,Santos,1,0
8,2000-08-19,16h00,Guarani,Cruzeiro,0,1
8,2000-08-19,18h00,Palmeiras,Internacional,1,4
8,2000-08-20,17h00,São Paulo,Bahia,1,1
8,2000-08-20,18h30,Botafogo-RJ,Corinthians,1,1
8,2000-08-20,18h30,Santa Cruz,Flamengo,2,2
8,2000-08-20,16h00,Juventude,Sport,1,1
8,2000-08-20,17h00,Athlético-PR,Coritiba,1,3
8,2000-08-20,17h00,Vasco,Ponte Preta,2,1
9,2000-08-23,20h30,América-MG,Athlético-PR,0,0
9,2000-08-23,20h30,Internacional,Guarani,0,0
9,2000-08-23,20h30,Goiás,Santa Cruz,1,1
9,2000-08-23,20h30,Juventude,Santos,1,1
9,2000-08-23,20h30,Bahia,Cruzeiro,1,3
9,2000-08-23,22h00,Vitória,Fluminense,2,4
9,2000-08-23,20h30,Ponte Preta,Gama,3,0
10,2000-08-26,15h45,Athlético-PR,São Paulo,2,1
10,2000-08-26,15h45,Guarani,Botafogo-RJ,1,2
10,2000-08-26,18h00,Cruzeiro,Vitória,3,1
10,2000-08-26,18h00,Fluminense,Juventude,2,0
10,2000-08-27,17h00,Internacional,Coritiba,1,1
10,2000-08-27,18h30,Portuguesa,Vasco,2,2
10,2000-08-27,17h00,Bahia,Santa Cruz,3,2
10,2000-08-27,17h00,Corinthians,Grêmio,1,2
10,2000-08-27,18h30,Santos,Palmeiras,2,3
10,2000-08-27,16h00,Ponte Preta,Atlético-MG,3,2
10,2000-08-27,18h30,Sport,Goiás,2,0
11,2000-08-30,22h00,Botafogo-RJ,Athlético-PR,0,2
11,2000-08-30,20h30,Guarani,Juventude,1,2
11,2000-08-30,20h30,Portuguesa,Gama,3,1
11,2000-08-30,20h30,Corinthians,Santos,0,3
11,2000-08-30,20h30,Vitória,Internacional,3,0
12,2000-09-02,15h45,Coritiba,Bahia,1,1
12,2000-09-02,15h45,Santos,Cruzeiro,1,1
12,2000-09-02,18h00,Grêmio,Ponte Preta,2,2
12,2000-09-02,16h00,Santa Cruz,Portuguesa,0,0
12,2000-09-02,16h00,América-MG,Guarani,1,0
12,2000-09-02,15h45,Atlético-MG,Flamengo,1,2
12,2000-09-02,16h00,Fluminense,Botafogo-RJ,1,0
12,2000-09-02,15h45,Gama,Internacional,0,1
12,2000-09-02,18h00,Palmeiras,São Paulo,0,3
12,2000-09-02,15h45,Vitória,Sport,4,3
13,2000-09-05,20h30,Vasco,Athlético-PR,2,2
13,2000-09-05,20h30,Cruzeiro,Internacional,1,1
13,2000-09-06,20h30,Gama,Santa Cruz,1,1
13,2000-09-06,22h00,América-MG,Botafogo-RJ,5,2
13,2000-09-06,20h30,Fluminense,Portuguesa,2,1
13,2000-09-06,20h30,Juventude,Coritiba,2,1
13,2000-09-07,15h45,Atlético-MG,Corinthians,3,1
13,2000-09-07,18h00,Grêmio,Sport,1,0
13,2000-09-07,18h00,Ponte Preta,Vitória,2,1
14,2000-09-09,18h00,Sport,Guarani,1,1
14,2000-09-09,18h00,Goiás,América-MG,2,0
14,2000-09-09,15h45,Santa Cruz,Santos,0,1
14,2000-09-09,15h45,São Paulo,Fluminense,2,0
14,2000-09-10,18h30,Flamengo,Palmeiras,0,0
14,2000-09-10,17h00,Corinthians,Vitória,1,1
14,2000-09-10,18h30,Bahia,Vasco,3,1
14,2000-09-10,17h00,Coritiba,Ponte Preta,2,0
14,2000-09-10,17h00,Cruzeiro,Gama,2,1
14,2000-09-10,18h30,Juventude,Grêmio,4,3
14,2000-09-10,18h30,Portuguesa,Atlético-MG,2,1
15,2000-09-13,20h30,Ponte Preta,São Paulo,3,3
15,2000-09-13,22h00,Cruzeiro,Botafogo-RJ,4,0
15,2000-09-13,20h30,Gama,Palmeiras,2,0
15,2000-09-13,20h30,Portuguesa,Bahia,3,1
15,2000-09-13,20h30,Sport,Athlético-PR,4,1
15,2000-09-13,20h30,Vasco,Fluminense,4,3
15,2000-09-13,20h30,Vitória,Coritiba,3,1
15,2000-09-14,20h30,Flamengo,Goiás,3,1
15,2000-09-14,20h30,Grêmio,América-MG,2,1
16,2000-09-16,15h45,Atlético-MG,Fluminense,2,2
16,2000-09-16,16h00,Vitória,Gama,1,1
16,2000-09-16,15h45,Internacional,Santos,1,1
16,2000-09-16,18h00,Botafogo-RJ,Ponte Preta,3,1
16,2000-09-16,18h00,Athlético-PR,Juventude,0,1
16,2000-09-17,18h30,Coritiba,Corinthians,1,1
16,2000-09-17,17h00,Grêmio,Cruzeiro,0,0
16,2000-09-17,18h30,Guarani,Goiás,0,0
16,2000-09-17,17h00,Palmeiras,Sport,1,1
16,2000-09-17,16h00,América-MG,Santa Cruz,1,0
16,2000-09-17,18h30,Bahia,Flamengo,4,1
16,2000-09-17,16h00,São Paulo,Portuguesa,2,0
17,2000-09-20,20h30,Juventude,Gama,0,2
17,2000-09-20,20h30,Ponte Preta,Portuguesa,3,1
17,2000-09-20,20h30,Santos,Athlético-PR,2,1
17,2000-09-20,20h30,Sport,Bahia,3,0
17,2000-09-20,22h00,Vasco,América-MG,4,0
18,2000-09-23,16h00,América-MG,Internacional,1,1
18,2000-09-23,15h45,Flamengo,Santos,3,0
18,2000-09-23,18h00,Grêmio,Vitória,1,0
18,2000-09-23,18h00,Guarani,Coritiba,2,0
18,2000-09-24,18h30,Santa Cruz,Atlético-MG,1,2
18,2000-09-24,17h00,Corinthians,Ponte Preta,1,0
18,2000-09-24,17h00,Goiás,Cruzeiro,2,0
18,2000-09-24,18h30,Fluminense,Palmeiras,0,1
18,2000-09-24,16h00,Portuguesa,Sport,1,0
18,2000-09-24,17h00,Gama,São Paulo,1,3
18,2000-09-24,18h30,Juventude,Vasco,1,2
19,2000-09-27,20h30,Botafogo-RJ,Vitória,0,0
19,2000-09-27,20h30,Portuguesa,Guarani,2,3
19,2000-09-27,20h30,Ponte Preta,Sport,3,0
19,2000-09-27,20h30,Santa Cruz,Juventude,2,1
19,2000-09-27,20h30,São Paulo,América-MG,3,0
19,2000-09-28,20h30,Corinthians,Athlético-PR,2,3
20,2000-09-30,16h00,Goiás,São Paulo,2,2
20,2000-09-30,16h00,América-MG,Juventude,3,0
20,2000-09-30,16h00,Atlético-MG,Cruzeiro,2,4
20,2000-09-30,16h00,Gama,Flamengo,2,4
20,2000-09-30,18h00,Coritiba,Grêmio,1,2
20,2000-09-30,18h00,Sport,Fluminense,3,2
21,2000-10-04,20h30,São Paulo,Grêmio,1,1
21,2000-10-04,20h30,América-MG,Portuguesa,1,1
21,2000-10-04,20h30,Bahia,Vitória,1,0
21,2000-10-04,20h30,Botafogo-RJ,Juventude,2,1
21,2000-10-04,20h30,Gama,Santos,2,1
21,2000-10-04,20h30,Athlético-PR,Guarani,0,1
21,2000-10-04,20h30,Palmeiras,Coritiba,2,1
21,2000-10-04,21h40,Ponte Preta,Flamengo,2,0
21,2000-10-04,20h30,Santa Cruz,Sport,0,3
21,2000-10-04,20h30,Vasco,Atlético-MG,4,0
22,2000-10-07,16h,Guarani,Bahia,2,2
22,2000-10-07,16h,América-MG,Cruzeiro,1,1
22,2000-10-07,16h,Santos,Ponte Preta,3,3
22,2000-10-07,18h,Atlético-MG,Goiás,2,1
22,2000-10-07,16h,Athlético-PR,Santa Cruz,4,0
22,2000-10-07,16h,Botafogo-RJ,Flamengo,3,1
22,2000-10-07,16h,Internacional,Grêmio,1,2
22,2000-10-07,16h,Juventude,Palmeiras,0,1
22,2000-10-07,18h,Corinthians,Portuguesa,2,3
22,2000-10-07,16h,Sport,Gama,3,0
22,2000-10-07,16h,Vitória,São Paulo,5,1
23,2000-10-10,20h30,Cruzeiro,Santa Cruz,3,0
23,2000-10-11,20h30,Palmeiras,América-MG,0,0
23,2000-10-11,21h40,Vasco,Vitória,2,2
23,2000-10-11,20h30,Atlético-MG,Guarani,3,0
23,2000-10-11,20h30,Ponte Preta,Athlético-PR,0,1
23,2000-10-11,21h40,Bahia,Corinthians,2,1
23,2000-10-11,20h30,Fluminense,Grêmio,1,0
23,2000-10-11,21h40,Portuguesa,Internacional,3,2
23,2000-10-11,20h30,São Paulo,Coritiba,3,2
23,2000-10-12,20h30,Cruzeiro,Juventude,2,1
24,2000-10-14,16h,Santos,Vasco,1,1
24,2000-10-14,18h,Internacional,Bahia,3,2
24,2000-10-14,16h,Palmeiras,Atlético-MG,3,2
24,2000-10-14,18h,Flamengo,Sport,1,2
24,2000-10-15,17h,Santa Cruz,Coritiba,1,1
24,2000-10-15,17h,Grêmio,Portuguesa,2,2
24,2000-10-15,18h30,Botafogo-RJ,São Paulo,1,0
24,2000-10-15,18h30,Fluminense,Cruzeiro,2,1
24,2000-10-15,17h,Juventude,Goiás,1,2
24,2000-10-15,18h30,Guarani,Corinthians,3,2
25,2000-10-17,20h30,São Paulo,Internacional,1,1
25,2000-10-18,20h30,Flamengo,América-MG,1,2
25,2000-10-18,22h,Athlético-PR,Fluminense,1,0
25,2000-10-18,20h30,Botafogo-RJ,Gama,2,0
25,2000-10-18,20h30,Palmeiras,Cruzeiro,0,1
25,2000-10-18,20h30,Guarani,Grêmio,3,2
25,2000-10-19,20h30,Atlético-MG,Coritiba,2,1
26,2000-10-21,15h45,Goiás,Santos,3,1
26,2000-10-21,18h,Internacional,Santa Cruz,4,0
26,2000-10-21,15h45,Portuguesa,Flamengo,2,1
26,2000-10-21,18h,Vasco,Gama,1,0
26,2000-10-22,17h,Sport,Botafogo-RJ,2,2
26,2000-10-22,17h,Atlético-MG,Grêmio,2,2
26,2000-10-22,18h30,São Paulo,Guarani,2,2
26,2000-10-22,17h,Coritiba,América-MG,3,2
26,2000-10-22,18h30,Corinthians,Fluminense,1,3
26,2000-10-22,17h,Vitória,Juventude,0,1
26,2000-10-22,18h30,Ponte Preta,Palmeiras,5,1
27,2000-10-24,20h30,Vasco,Goiás,2,1
27,2000-10-25,20h30,Gama,Atlético-MG,0,0
27,2000-10-25,20h30,Fluminense,Santa Cruz,6,1
27,2000-10-25,22h,Grêmio,Botafogo-RJ,2,1
27,2000-10-25,20h30,Bahia,Ponte Preta,1,2
27,2000-10-25,22h,Sport,Corinthians,3,1
27,2000-10-27,21h40,Flamengo,Vasco,4,0
28,2000-10-28,18h,Santos,Bahia,0,1
28,2000-10-28,18h,Cruzeiro,Portuguesa,5,1
28,2000-10-28,16h,Grêmio,Gama,4,1
28,2000-10-28,18h,Sport,Internacional,0,1
28,2000-10-28,16h,Santa Cruz,Palmeiras,1,5
28,2000-10-28,16h,São Paulo,Atlético-MG,2,1
28,2000-10-28,16h,América-MG,Vitória,2,3
29,2000-11-01,21h40,Internacional,Corinthians,1,0
29,2000-11-02,16h,Guarani,Ponte Preta,2,1
29,2000-11-03,20h30,Coritiba,Vasco,0,1
30,2000-11-04,18h,Goiás,Grêmio,2,2
30,2000-11-04,18h,Atlético-MG,América-MG,0,1
30,2000-11-04,18h,Athlético-PR,Vitória,3,1
30,2000-11-04,16h,Bahia,Botafogo-RJ,2,0
30,2000-11-04,16h,Cruzeiro,Corinthians,3,1
30,2000-11-05,17h,Fluminense,Flamengo,1,1
30,2000-11-05,17h,Portuguesa,Palmeiras,1,1
30,2000-11-05,17h,Coritiba,Santos,2,1
30,2000-11-05,16h,Internacional,Vasco,2,0
30,2000-11-05,16h,Juventude,São Paulo,3,1
30,2000-11-05,17h,Santa Cruz,Ponte Preta,0,3
31,2000-11-08,20h30,Athlético-PR,Goiás,1,1
31,2000-11-08,20h30,Bahia,América-MG,2,1
31,2000-11-08,20h30,Ponte Preta,Internacional,3,1
31,2000-11-08,21h40,Santos,Portuguesa,2,0
31,2000-11-08,21h40,Sport,São Paulo,4,3
31,2000-11-09,20h30,Vitória,Guarani,1,2
31,2000-11-09,20h30,Corinthians,Juventude,1,2
31,2000-11-10,20h30,Palmeiras,Vasco,3,0
32,2000-11-11,16h,Goiás,Fluminense,3,3
32,2000-11-11,18h,Atlético-MG,Juventude,3,2
32,2000-11-11,16h,Coritiba,Portuguesa,3,1
32,2000-11-11,18h,Grêmio,Athlético-PR,3,0
32,2000-11-11,16h,Santos,Sport,3,1
32,2000-11-12,16h,São Paulo,Corinthians,0,0
32,2000-11-12,17h,Cruzeiro,Ponte Preta,2,2
32,2000-11-12,17h,Vasco,Botafogo-RJ,1,2
32,2000-11-12,16h,Gama,Guarani,1,2
32,2000-11-12,16h,Internacional,Flamengo,3,0
32,2000-11-12,16h,Bahia,Palmeiras,1,2
33,2000-11-14,20h30,Flamengo,Cruzeiro,1,2
33,2000-11-15,20h30,Juventude,Bahia,0,0
33,2000-11-16,20h30,Athlético-PR,Internacional,2,1
33,2000-11-16,21h40,Corinthians,Flamengo,1,4
33,2000-11-16,20h30,Fluminense,Coritiba,2,0
33,2000-11-16,20h30,Goiás,Ponte Preta,3,0
33,2000-11-16,21h40,Guarani,Santos,3,2
33,2000-11-16,20h30,Botafogo-RJ,Santa Cruz,1,2
33,2000-11-16,20h30,Sport,América-MG,1,0
33,2000-11-16,20h30,Grêmio,Vasco,0,1
33,2000-11-16,21h40,Vitória,Atlético-MG,2,0
34,2000-11-19,16h,Coritiba,Cruzeiro,1,1
34,2000-11-19,16h,América-MG,Corinthians,2,1
34,2000-11-19,16h,Flamengo,Vitória,3,2
34,2000-11-19,16h,Ponte Preta,Fluminense,3,4
34,2000-11-19,16h,Bahia,Goiás,0,1
34,2000-11-19,16h,Santa Cruz,Grêmio,0,3
34,2000-11-19,16h,Internacional,Juventude,2,1
