Fase,Data,Horário,Mandante,Visitante,Placar Mandante,Placar Visitante
R1,2003-03-29,,Atlético Paranaense,Grêmio,2,0
R1,2003-03-30,,Vitória,Figueirense,1,1
R1,2003-03-30,,Cruzeiro,São Caetano,2,2
R1,2003-03-30,,Santos,Paraná,2,2
R1,2003-03-30,,Fortaleza,Bahia,0,0
R1,2003-03-30,,Internacional,Ponte Preta,1,1
R1,2003-03-30,,Juventude,São Paulo,2,2
R1,2003-03-30,,Goiás,Paysandu,2,2
R1,2003-03-30,,Corinthians,Atlético Mineiro,0,3
R1,2003-03-30,,Flamengo,Coritiba,1,1
R1,2003-03-30,,Criciúma,Fluminense,2,0
R2,2003-04-05,,Grêmio,Guarani,3,1
R2,2003-04-05,,Coritiba,Internacional,0,1
R2,2003-04-05,,Atlético Mineiro,Santos,0,0
R2,2003-04-05,,Fluminense,Fortaleza,1,1
R2,2003-04-06,,Ponte Preta,Juventude,1,0
R2,2003-04-06,,São Caetano,Criciúma,3,2
R2,2003-04-06,,Paysandu,Vitória,1,2
R2,2003-04-06,,Paraná,Atlético Paranaense,3,0
R2,2003-04-06,,São Paulo,Cruzeiro,2,4
R2,2003-04-06,,Bahia,Flamengo,1,2
R2,2003-04-06,,Vasco,Goiás,6,4
R2,2003-04-06,,Figueirense,Corinthians,3,3
R4,2003-04-09,,Paysandu,Santos,2,1
R3,2003-04-12,,Santos,Figueirense,2,0
R3,2003-04-12,,Internacional,Bahia,2,0
R3,2003-04-12,,Atlético Paranaense,Atlético Mineiro,1,2
R3,2003-04-12,,Corinthians,Paysandu,6,1
R3,2003-04-13,,Guarani,Paraná,2,0
R3,2003-04-13,,Goiás,Grêmio,1,1
R3,2003-04-13,,Fortaleza,São Caetano,1,1
R3,2003-04-13,,Juventude,Coritiba,2,1
R3,2003-04-13,,Cruzeiro,Ponte Preta,3,0
R3,2003-04-13,,Flamengo,Fluminense,4,1
R3,2003-04-13,,Vitória,Vasco,2,1
R3,2003-04-13,,Criciúma,São Paulo,1,1
R4,2003-04-16,,Atlético Mineiro,Guarani,3,2
R4,2003-04-16,,Figueirense,Atlético Paranaense,1,1
R4,2003-04-16,,Ponte Preta,Criciúma,1,1
R4,2003-04-16,,Coritiba,Cruzeiro,3,4
R4,2003-04-16,,Grêmio,Vitória,2,1
R4,2003-04-16,,São Caetano,Flamengo,1,1
R4,2003-04-16,,Vasco,Corinthians,2,2
R4,2003-04-16,,Bahia,Juventude,3,1
R4,2003-04-17,,São Paulo,Fortaleza,3,1
R4,2003-04-17,,Fluminense,Internacional,3,1
R4,2003-04-17,,Paraná,Goiás,3,1
R5,2003-04-19,,Bahia,Atlético Mineiro,2,4
R5,2003-04-19,,São Caetano,Grêmio,1,1
R5,2003-04-19,,Flamengo,Santos,0,2
R5,2003-04-20,,Fortaleza,Atlético Paranaense,1,0
R5,2003-04-20,,Juventude,Vitória,1,1
R5,2003-04-20,,Ponte Preta,Paysandu,4,4
R5,2003-04-20,,Criciúma,Guarani,1,0
R5,2003-04-20,,Internacional,Corinthians,2,1
R5,2003-04-20,,Fluminense,Paraná,0,0
R5,2003-04-20,,São Paulo,Vasco,3,1
R5,2003-04-20,,Cruzeiro,Goiás,4,1
R5,2003-04-21,,Coritiba,Figueirense,1,0
R6,2003-04-26,,Vitória,Internacional,0,3
R6,2003-04-26,,Atlético Mineiro,Coritiba,1,2
R6,2003-04-26,,Guarani,Cruzeiro,1,1
R6,2003-04-26,,Paraná,Bahia,3,1
R6,2003-04-27,,Santos,Fortaleza,4,0
R6,2003-04-27,,Atlético Paranaense,Criciúma,5,2
R6,2003-04-27,,Figueirense,Ponte Preta,0,0
R6,2003-04-27,,Paysandu,São Paulo,5,2
R6,2003-04-27,,Vasco,São Caetano,1,0
R6,2003-04-27,,Goiás,Juventude,7,0
R6,2003-04-27,,Corinthians,Flamengo,1,1
R6,2003-04-27,,Grêmio,Fluminense,0,1
R7,2003-05-03,,Bahia,Grêmio,2,1
