Fase,Data,Horário,Mandante,Visitante,Placar Mandante,Placar Visitante
Grp.A,1981-01-17,,Vitória,Londrina,3,1
Grp.A,1981-01-17,,Vasco,Vila Nova,3,1
Grp.B,1981-01-18,,Desportiva Ferroviária,Botafogo,0,4
Grp.B,1981-01-18,,Operário-MS,Pinheiros-PR,1,1
Grp.B,1981-01-18,,Brasília,Portuguesa,2,2
Grp.A,1981-01-18,,Joinville,Inter de Limeira,1,2
Grp.A,1981-01-18,,Bangu,Colorado,0,0
Grp.A,1981-01-18,,Internacional,Ponte Preta,4,2
Grp.B,1981-01-18,,Galícia,Corinthians,0,2
Grp.C,1981-01-18,,Sport,São Paulo,0,0
Grp.D,1981-01-18,,Sampaio Corrêa,Itabaiana,1,0
Grp.D,1981-01-18,,Nacional-AM,Cruzeiro,1,0
Grp.D,1981-01-18,,Flamengo,Santos,0,0
Grp.D,1981-01-18,,CRB,Fortaleza,1,1
Grp.C,1981-01-18,,América-RN,River-PI,2,0
Grp.C,1981-01-18,,Atlético Mineiro,CSA,3,0
Grp.C,1981-01-18,,Mixto,Fluminense,1,1
Grp.C,1981-01-18,,Ferroviário,Campinense,2,1
Grp.B,1981-01-18,,Goiás,Grêmio,0,0
Grp.A,1981-01-21,,Joinville,Vasco,0,2
Grp.A,1981-01-21,,Londrina,Bangu,2,1
Grp.A,1981-01-21,,Inter de Limeira,Colorado,1,1
Grp.B,1981-01-21,,Portuguesa,Goiás,2,0
Grp.C,1981-01-21,,América-RN,São Paulo,1,1
Grp.A,1981-01-21,,Ponte Preta,Vitória,3,0
Grp.D,1981-01-21,,Nacional-AM,Flamengo,0,1
Grp.B,1981-01-21,,Botafogo,Operário-MS,1,0
Grp.C,1981-01-21,,Atlético Mineiro,Campinense,0,0
Grp.D,1981-01-21,,Santos,CRB,5,2
Grp.D,1981-01-21,,Fortaleza,Itabaiana,1,0
Grp.D,1981-01-21,,Paysandu,Cruzeiro,1,3
Grp.C,1981-01-21,,CSA,Fluminense,0,2
Grp.C,1981-01-21,,River-PI,Mixto,0,0
Grp.B,1981-01-21,,Brasília,Corinthians,0,1
Grp.B,1981-01-21,,Desportiva Ferroviária,Pinheiros-PR,0,1
Grp.B,1981-01-21,,Grêmio,Galícia,2,1
Grp.D,1981-01-22,,Sampaio Corrêa,Santa Cruz,1,1
Grp.C,1981-01-22,,Sport,Ferroviário,2,0
Grp.A,1981-01-22,,Vila Nova,Internacional,0,2
Grp.D,1981-01-24,,Fortaleza,Nacional-AM,1,1
Grp.C,1981-01-24,,São Paulo,Mixto,4,0
Grp.C,1981-01-24,,Fluminense,América-RN,4,2
Grp.B,1981-01-25,,Corinthians,Botafogo,1,3
Grp.B,1981-01-25,,Grêmio,Desportiva Ferroviária,2,0
Grp.A,1981-01-25,,Bangu,Ponte Preta,5,1
Grp.A,1981-01-25,,Vila Nova,Joinville,0,0
Grp.A,1981-01-25,,Londrina,Inter de Limeira,0,1
Grp.A,1981-01-25,,Colorado,Vitória,2,1
Grp.B,1981-01-25,,Operário-MS,Portuguesa,2,1
Grp.A,1981-01-25,,Vasco,Internacional,4,0
Grp.D,1981-01-25,,Itabaiana,CRB,3,1
Grp.C,1981-01-25,,Ferroviário,Atlético Mineiro,1,1
Grp.C,1981-01-25,,CSA,River-PI,2,1
Grp.C,1981-01-25,,Campinense,Sport,4,1
Grp.D,1981-01-25,,Paysandu,Flamengo,3,0
Grp.D,1981-01-25,,Santa Cruz,Santos,1,1
Grp.B,1981-01-25,,Galícia,Brasília,1,0
Grp.D,1981-01-25,,Cruzeiro,Sampaio Corrêa,1,1
Grp.B,1981-01-25,,Pinheiros-PR,Goiás,0,0
Grp.D,1981-01-28,,Flamengo,Sampaio Corrêa,2,0
Grp.B,1981-01-28,,Pinheiros-PR,Grêmio,1,1
Grp.B,1981-01-28,,Brasília,Botafogo,0,2
Grp.B,1981-01-28,,Corinthians,Desportiva Ferroviária,2,2
Grp.A,1981-01-28,,Internacional,Londrina,1,0
Grp.A,1981-01-28,,Ponte Preta,Inter de Limeira,3,0
Grp.A,1981-01-28,,Bangu,Vasco,3,2
Grp.B,1981-01-28,,Goiás,Operário-MS,2,0
Grp.B,1981-01-28,,Portuguesa,Galícia,2,1
Grp.C,1981-01-28,,Mixto,América-RN,4,2
Grp.D,1981-01-28,,CRB,Santa Cruz,3,1
Grp.C,1981-01-28,,River-PI,São Paulo,0,2
Grp.C,1981-01-28,,Ferroviário,Fluminense,4,1
Grp.C,1981-01-28,,Atlético Mineiro,Sport,1,1
Grp.D,1981-01-28,,Santos,Paysandu,4,0
Grp.D,1981-01-29,,Nacional-AM,Itabaiana,1,0
Grp.A,1981-01-29,,Colorado,Joinville,1,0
Grp.A,1981-01-29,,Vitória,Vila Nova,1,0
Grp.D,1981-01-29,,Cruzeiro,Fortaleza,1,0
Grp.C,1981-01-29,,Campinense,CSA,0,1
Grp.B,1981-01-31,,Galícia,Goiás,3,2
Grp.B,1981-01-31,,Botafogo,Portuguesa,0,1
Grp.B,1981-01-31,,Grêmio,Corinthians,1,0
Grp.B,1981-02-01,,Desportiva Ferroviária,Operário-MS,0,2
Grp.A,1981-02-01,,Vitória,Bangu,2,0
Grp.A,1981-02-01,,Joinville,Internacional,1,0
Grp.A,1981-02-01,,Vila Nova,Colorado,2,1
Grp.A,1981-02-01,,Londrina,Ponte Preta,0,1
Grp.B,1981-02-01,,Brasília,Pinheiros-PR,3,2
Grp.C,1981-02-01,,Mixto,Campinense,1,0
Grp.D,1981-02-01,,Sampaio Corrêa,CRB,1,1
Grp.D,1981-02-01,,Itabaiana,Flamengo,0,2
Grp.D,1981-02-01,,Nacional-AM,Santa Cruz,1,1
Grp.D,1981-02-01,,Santos,Cruzeiro,0,0
Grp.C,1981-02-01,,Fluminense,Atlético Mineiro,2,1
Grp.C,1981-02-01,,América-RN,Ferroviário,3,2
Grp.C,1981-02-01,,CSA,São Paulo,2,2
Grp.C,1981-02-01,,Sport,River-PI,1,1
Grp.A,1981-02-01,,Inter de Limeira,Vasco,0,2
Grp.D,1981-02-01,,Fortaleza,Paysandu,1,1
Grp.B,1981-02-04,,Operário-MS,Galícia,1,0
Grp.B,1981-02-04,,Portuguesa,Grêmio,1,0
Grp.C,1981-02-04,,São Paulo,Ferroviário,0,0
Grp.B,1981-02-04,,Desportiva Ferroviária,Brasília,2,2
Grp.B,1981-02-04,,Pinheiros-PR,Botafogo,2,2
Grp.A,1981-02-04,,Ponte Preta,Joinville,2,0
Grp.A,1981-02-04,,Colorado,Internacional,0,0
Grp.A,1981-02-04,,Inter de Limeira,Vitória,1,0
