Fase,Data,Horário,Mandante,Visitante,Mandante Placar,Visitante Placar
Grp.B,1968-08-24,,Portuguesa,São Paulo,1,0
Grp.A,1968-08-28,,Palmeiras,Náutico,1,0
Grp.B,1968-09-01,,Palmeiras,Grêmio,1,1
Grp.A,1968-09-01,,Náutico,Corinthians,0,1
Grp.B,1968-09-01,,Atlético Paranaense,São Paulo,1,1
Grp.A,1968-09-04,,Internacional,Palmeiras,1,1
Grp.A,1968-09-07,,Internacional,Náutico,1,1
Grp.B,1968-09-08,,Grêmio,Portuguesa,3,0
Grp.B,1968-09-08,,Atlético Paranaense,Santos,3,2
Grp.B,1968-09-08,,Corinthians,São Paulo,2,1
Grp.B,1968-09-11,,Grêmio,Náutico,0,0
Grp.B,1968-09-11,,Corinthians,Portuguesa,3,1
Grp.B,1968-09-14,,São Paulo,Internacional,0,1
Grp.B,1968-09-14,,Atlético Mineiro,Bahia,1,0
Grp.B,1968-09-14,,Fluminense,Botafogo,2,1
Grp.B,1968-09-15,,Portuguesa,Vasco,0,2
Grp.A,1968-09-15,,Cruzeiro,Náutico,3,0
Grp.B,1968-09-15,,Flamengo,Santos,0,2
Grp.B,1968-09-18,,Santos,Palmeiras,0,0
Grp.B,1968-09-18,,Internacional,Vasco,2,1
Grp.B,1968-09-18,,Atlético Paranaense,Fluminense,3,1
Grp.B,1968-09-18,,Atlético Mineiro,Náutico,2,1
Grp.B,1968-09-18,,Bangu,Portuguesa,3,1
Grp.B,1968-09-19,,Corinthians,Bahia,1,0
Grp.B,1968-09-21,,Santos,Fluminense,2,1
Grp.B,1968-09-22,,Portuguesa,Internacional,3,3
Grp.B,1968-09-22,,Vasco,Atlético Mineiro,2,0
Grp.B,1968-09-22,,Grêmio,São Paulo,1,1
Grp.B,1968-09-22,,Cruzeiro,Bahia,1,0
Grp.A,1968-09-22,,Atlético Paranaense,Botafogo,0,1
Grp.B,1968-09-25,,Internacional,Bahia,1,1
Grp.B,1968-09-25,,Santos,Bangu,1,1
Grp.B,1968-09-25,,Atlético Mineiro,São Paulo,1,2
Grp.A,1968-09-25,,Flamengo,Cruzeiro,1,0
Grp.B,1968-09-26,,Palmeiras,Fluminense,2,0
Grp.A,1968-09-26,,Botafogo,Náutico,4,1
Grp.A,1968-09-28,,Flamengo,Bangu,1,1
Grp.B,1968-09-29,,Vasco,Santos,3,2
Grp.A,1968-09-29,,Corinthians,Botafogo,3,0
Grp.B,1968-09-29,,Grêmio,Bahia,2,1
Grp.B,1968-09-29,,Atlético Mineiro,Fluminense,0,0
Grp.A,1968-09-29,,Atlético Paranaense,Internacional,3,1
Grp.B,1968-10-02,,Fluminense,Cruzeiro,1,2
Grp.B,1968-10-02,,São Paulo,Bangu,0,0
Grp.B,1968-10-02,,Bahia,Palmeiras,0,2
Grp.B,1968-10-03,,Flamengo,Portuguesa,3,3
Grp.B,1968-10-03,,Corinthians,Atlético Mineiro,2,1
Grp.B,1968-10-05,,Vasco,Botafogo,2,1
Grp.B,1968-10-06,,Grêmio,Bangu,0,0
Grp.B,1968-10-06,,Santos,Corinthians,2,1
Grp.B,1968-10-06,,Bahia,Portuguesa,0,1
