Fullname,Nickname,formationDate,fundation,status
Grêmio Foot-Ball Porto Alegrense,Rei de Copas,1903-09-15,1903-09-15,Found
-,-,-,-,Found
-,-,-,-,SyxtaxError
Sociedade Esportiva Palmeiras,Periquito,1914-08-26,1914-08-26,Found
-,-,-,-,SyxtaxError
Botafogo de Futebol e Regatas,A Estrela Solitária,1904-08-12,1904-08-12,Found
Clube de Regatas do Flamengo,Rubro-Negro,1895-11-15,1895-11-15,Found
-,-,-,-,Found
Sport Club Internacional,Clube do Povo,1909-04-04,1909-04-04,Found
-,-,-,-,Found
-,-,-,-,Found
Sport Club Corinthians Paulista,Coringão,1910-09-01,1910-09-01,Found
Esporte Clube Bahia,Esquadrão de aço,1931-01-01,1931-01-01,Found
Club Athletico Paranaense,Furacão,1924-03-26,1924-03-26,Found
Sport Club do Recife,Leão da Ilha,1905-05-13,1905-05-13,Found
Goiás Esporte Clube,Verdão,1943-04-06,1943-04-06,Found
Coritiba Foot Ball Club,Glorioso,1909-10-12,1909-10-12,Found
Esporte Clube Vitória,Rubro-negro,1899-05-13,1899-05-13,Found
Associação Portuguesa de Desportos,Rubro-Verde,1920-08-14,1920-08-14,Found
Clube Náutico Capibaribe,Timbu,1901-04-07,1901-04-07,Found
-,-,-,-,Found
Paysandu Sport Club,Alviceleste,1914-02-02,1914-02-02,Found
Ceará Sporting Club,Alvinegro Cearense,1914-06-02,1914-06-02,Found
Santa Cruz Futebol Clube,Tricolor das Repúblicas Independentes do Arruda,1914-02-03,1914-02-03,Found
Associação Atlética Ponte Preta,A Veterana,1900-08-11,1900-08-11,Found
Fortaleza Esporte Clube,Clube da Garotada,1918-10-18,1918-10-18,Found
Centro Sportivo Alagoano,Azulão das Alagoas &#39;&#39;,1913-09-07,1913-09-07,Found
America Football Club,Rubro Carioca,1904-09-18,1904-09-18,Found
-,-,-,-,NotFound
-,-,-,-,Found
Esporte Clube Juventude,Papo,1913-06-29,1913-06-29,Found
Clube do Remo,Rei da Amazônia,1905-02-05,1905-02-05,Found
Paraná Clube,Tricolor da Vila,1989-12-19,1989-12-19,Found
-,-,-,-,NotFound
-,-,-,-,Found
