Fase,Data,Horário,Mandante,Visitante,Placar Mandante,Placar Visitante
R1,2001-08-01,,Corinthians,Vitória,2,0
R1,2001-08-01,,Flamengo,Ponte Preta,0,0
R1,2001-08-01,,Internacional,Juventude,0,2
R1,2001-08-01,,Sport,Fluminense,1,1
R1,2001-08-01,,Atlético Mineiro,Coritiba,1,1
R1,2001-08-01,,Gama,Vasco,0,0
R1,2001-08-01,,Bahia,São Caetano,5,0
R1,2001-08-01,,Portuguesa,Goiás,0,1
R1,2001-08-01,,Botafogo-SP,São Paulo,2,2
R1,2001-08-01,,Botafogo,América Mineiro,1,1
R1,2001-08-01,,Guarani,Palmeiras,1,3
R1,2001-08-02,,Santos,Santa Cruz,1,1
R1,2001-08-02,,Atlético Paranaense,Grêmio,2,0
R2,2001-08-04,,América Mineiro,Portuguesa,0,0
R2,2001-08-04,,Juventude,Atlético Mineiro,1,4
R2,2001-08-04,,Fluminense,Botafogo-SP,2,0
R2,2001-08-04,,Palmeiras,Bahia,2,1
R2,2001-08-05,,Coritiba,Internacional,3,2
R2,2001-08-05,,Cruzeiro,Atlético Paranaense,1,2
R2,2001-08-05,,São Paulo,Gama,0,0
R2,2001-08-05,,Grêmio,Paraná,2,1
R2,2001-08-05,,Santa Cruz,Botafogo,0,4
R2,2001-08-05,,Goiás,Flamengo,2,0
R2,2001-08-05,,São Caetano,Sport,2,0
R2,2001-08-05,,Vitória,Santos,1,1
R2,2001-08-05,,Vasco,Guarani,7,1
R2,2001-08-05,,Ponte Preta,Corinthians,2,2
R3,2001-08-08,,Flamengo,Paraná,0,1
R3,2001-08-08,,Coritiba,Vasco,1,0
R3,2001-08-08,,São Caetano,Atlético Paranaense,0,0
R3,2001-08-08,,Grêmio,Goiás,0,0
R3,2001-08-08,,Cruzeiro,Ponte Preta,0,0
R3,2001-08-08,,Vitória,São Paulo,2,1
R3,2001-08-08,,Corinthians,Botafogo-SP,3,2
R3,2001-08-08,,Gama,Santos,1,1
R3,2001-08-08,,Santa Cruz,Internacional,1,2
R3,2001-08-08,,Juventude,Palmeiras,0,0
R3,2001-08-09,,Botafogo,Bahia,3,2
R3,2001-08-09,,Portuguesa,Sport,2,1
R3,2001-08-09,,Guarani,Fluminense,1,1
R3,2001-08-09,,América Mineiro,Atlético Mineiro,0,1
R4,2001-08-11,,São Paulo,Santa Cruz,3,1
R4,2001-08-11,,Botafogo-SP,Cruzeiro,1,4
R4,2001-08-11,,Atlético Paranaense,Flamengo,4,0
R4,2001-08-11,,Vasco,Juventude,1,1
R4,2001-08-12,,Fluminense,Vitória,1,1
R4,2001-08-12,,Santos,Coritiba,2,0
R4,2001-08-12,,Palmeiras,América Mineiro,3,1
R4,2001-08-12,,Bahia,Portuguesa,2,1
R4,2001-08-12,,Sport,Grêmio,2,1
R4,2001-08-12,,Atlético Mineiro,Guarani,3,0
R4,2001-08-12,,Internacional,Gama,2,0
R4,2001-08-12,,Ponte Preta,Botafogo,3,1
R4,2001-08-12,,Goiás,São Caetano,0,0
R4,2001-08-12,,Paraná,Corinthians,3,1
R5,2001-08-15,,Cruzeiro,América Mineiro,0,3
R5,2001-08-15,,Corinthians,Juventude,0,0
R5,2001-08-15,,Paraná,Ponte Preta,1,2
R5,2001-08-15,,Santa Cruz,Palmeiras,3,2
R5,2001-08-15,,Vitória,Vasco,1,0
R5,2001-08-15,,Flamengo,Sport,2,1
R5,2001-08-15,,São Caetano,Fluminense,1,1
R5,2001-08-16,,Portuguesa,Coritiba,1,0
R5,2001-08-16,,Botafogo,Goiás,0,1
R5,2001-08-16,,Guarani,São Paulo,1,2
R5,2001-08-16,,Botafogo-SP,Santos,0,1
R5,2001-08-16,,Gama,Grêmio,2,1
R5,2001-08-16,,Internacional,Bahia,2,0
R5,2001-08-16,,Atlético Paranaense,Atlético Mineiro,1,0
R6,2001-08-18,,Vasco,Santa Cruz,1,1
R6,2001-08-18,,América Mineiro,São Caetano,0,1
R6,2001-08-18,,Palmeiras,Paraná,3,1
R6,2001-08-19,,Sport,Corinthians,2,1
R6,2001-08-19,,Fluminense,Gama,4,3
R6,2001-08-19,,Atlético Mineiro,Botafogo-SP,2,0
R6,2001-08-19,,São Paulo,Atlético Paranaense,2,1
R6,2001-08-19,,Bahia,Flamengo,0,2
R6,2001-08-19,,Ponte Preta,Portuguesa,2,1
R6,2001-08-19,,Juventude,Guarani,1,0
R6,2001-08-19,,Coritiba,Cruzeiro,3,2
R6,2001-08-19,,Grêmio,Vitória,0,0
R6,2001-08-19,,Goiás,Internacional,0,1
R6,2001-08-19,,Santos,Botafogo,0,0
R7,2001-08-25,,Fluminense,Santa Cruz,3,2
R7,2001-08-25,,Paraná,Portuguesa,0,1
R7,2001-08-25,,Palmeiras,Goiás,3,2
R7,2001-08-26,,Coritiba,São Caetano,1,1
R7,2001-08-26,,Atlético Mineiro,Vitória,3,0
R7,2001-08-26,,São Paulo,Ponte Preta,4,0
R7,2001-08-26,,Grêmio,América Mineiro,3,1
R7,2001-08-26,,Sport,Cruzeiro,0,1
R7,2001-08-26,,Santos,Juventude,2,2
R7,2001-08-26,,Gama,Botafogo,0,0
R7,2001-08-26,,Guarani,Internacional,2,2
R7,2001-08-26,,Vasco,Atlético Paranaense,4,0
R7,2001-08-26,,Botafogo-SP,Flamengo,1,0
R7,2001-08-26,,Bahia,Corinthians,1,0
R8,2001-08-29,,Juventude,São Paulo,3,3
R8,2001-08-29,,Botafogo,Sport,3,1
R8,2001-08-29,,Internacional,Botafogo-SP,2,0
R8,2001-08-29,,São Caetano,Paraná,4,1
R8,2001-08-29,,Ponte Preta,Grêmio,3,2
R8,2001-08-29,,Santa Cruz,Atlético Mineiro,1,1
R8,2001-08-29,,Vitória,Palmeiras,1,3
