Fase,Data,Horário,Mandante,Visitante,Placar Mandante,Placar Visitante
1F,1990-08-18,,Náutico,Santos,1,0
1F,1990-08-18,,São Paulo,Atlético Mineiro,1,2
1F,1990-08-19,,Cruzeiro,Botafogo,1,0
1F,1990-08-19,,Grêmio,Corinthians,3,0
1F,1990-08-19,,São José,Goiás,1,1
1F,1990-08-19,,Fluminense,Portuguesa,3,0
1F,1990-08-25,,Portuguesa,Vitória,0,0
1F,1990-08-25,,Corinthians,Cruzeiro,0,1
1F,1990-08-25,,Vasco,Inter de Limeira,0,1
1F,1990-08-26,,Goiás,Náutico,1,0
1F,1990-08-26,,Botafogo,São José,0,1
1F,1990-08-26,,Bragantino,Palmeiras,1,1
1F,1990-08-26,,Internacional,Grêmio,0,1
1F,1990-08-29,,Santos,São Paulo,1,0
1F,1990-08-29,,Atlético Mineiro,Fluminense,4,2
1F,1990-08-29,,Bahia,Flamengo,1,0
1F,1990-08-30,,Palmeiras,Internacional,1,0
1F,1990-09-01,,Flamengo,Goiás,2,2
1F,1990-09-01,,Cruzeiro,Portuguesa,1,0
1F,1990-09-02,,São Paulo,Bragantino,1,0
1F,1990-09-02,,Vitória,Corinthians,0,0
1F,1990-09-02,,Fluminense,Internacional,1,1
1F,1990-09-02,,Palmeiras,Santos,0,0
1F,1990-09-02,,Inter de Limeira,Botafogo,1,0
1F,1990-09-02,,Grêmio,Atlético Mineiro,0,0
1F,1990-09-02,,Náutico,Bahia,0,0
1F,1990-09-05,,São José,Vasco,0,0
1F,1990-09-05,,Flamengo,Bragantino,1,2
1F,1990-09-07,,Goiás,Cruzeiro,2,2
1F,1990-09-08,,Botafogo,Grêmio,1,1
1F,1990-09-08,,Santos,São José,2,0
1F,1990-09-09,,Bahia,Vitória,0,1
1F,1990-09-09,,Bragantino,Inter de Limeira,2,1
1F,1990-09-09,,Atlético Mineiro,Náutico,1,0
1F,1990-09-09,,Internacional,Flamengo,3,3
1F,1990-09-09,,Portuguesa,São Paulo,1,2
1F,1990-09-09,,Vasco,Fluminense,0,0
1F,1990-09-09,,Corinthians,Palmeiras,2,1
1F,1990-09-15,,Fluminense,Santos,5,2
1F,1990-09-16,,São Paulo,Goiás,0,1
1F,1990-09-16,,São José,Corinthians,1,2
1F,1990-09-16,,Vitória,Atlético Mineiro,1,1
1F,1990-09-16,,Flamengo,Vasco,1,0
1F,1990-09-16,,Palmeiras,Bahia,1,2
1F,1990-09-16,,Inter de Limeira,Portuguesa,1,1
1F,1990-09-16,,Cruzeiro,Internacional,2,0
1F,1990-09-16,,Náutico,Botafogo,2,1
1F,1990-09-16,,Grêmio,Bragantino,0,1
1F,1990-09-19,,Botafogo,Vitória,0,0
1F,1990-09-19,,Bahia,São José,3,0
1F,1990-09-19,,Vasco,Cruzeiro,1,1
1F,1990-09-19,,Goiás,Inter de Limeira,3,0
1F,1990-09-19,,Atlético Mineiro,Palmeiras,1,0
1F,1990-09-19,,Bragantino,Náutico,0,1
1F,1990-09-19,,Portuguesa,Grêmio,2,2
1F,1990-09-19,,Corinthians,Fluminense,1,0
1F,1990-09-19,,Santos,Flamengo,0,0
1F,1990-09-20,,Internacional,São Paulo,1,2
1F,1990-09-22,,Cruzeiro,Bahia,0,0
1F,1990-09-22,,Flamengo,Atlético Mineiro,1,1
1F,1990-09-22,,Palmeiras,Portuguesa,1,3
1F,1990-09-23,,São José,Bragantino,0,1
1F,1990-09-23,,Grêmio,Vasco,1,1
1F,1990-09-23,,Inter de Limeira,Santos,0,0
1F,1990-09-23,,Vitória,Goiás,1,1
1F,1990-09-23,,Fluminense,Botafogo,0,1
1F,1990-09-23,,Náutico,Internacional,1,1
1F,1990-09-23,,São Paulo,Corinthians,1,1
1F,1990-09-26,,Vitória,Vasco,2,0
1F,1990-09-26,,Cruzeiro,Santos,1,1
1F,1990-09-29,,Bahia,São Paulo,2,2
1F,1990-09-30,,Fluminense,Bragantino,1,1
1F,1990-09-30,,Vasco,Náutico,1,1
1F,1990-09-30,,Goiás,Palmeiras,0,2
1F,1990-09-30,,Internacional,Vitória,0,0
1F,1990-09-30,,Botafogo,Flamengo,1,0
1F,1990-09-30,,Atlético Mineiro,Cruzeiro,2,0
1F,1990-09-30,,Portuguesa,São José,2,2
1F,1990-09-30,,Corinthians,Inter de Limeira,1,0
1F,1990-10-01,,Santos,Grêmio,0,0
1F,1990-10-04,,Fluminense,Bahia,1,4
1F,1990-10-04,,São José,Atlético Mineiro,0,0
1F,1990-10-04,,Palmeiras,Botafogo,0,1
1F,1990-10-04,,Náutico,Portuguesa,2,2
1F,1990-10-04,,Grêmio,Goiás,2,0
1F,1990-10-04,,São Paulo,Vasco,0,0
1F,1990-10-04,,Vitória,Bragantino,1,0
1F,1990-10-04,,Flamengo,Corinthians,1,2
1F,1990-10-07,,Vasco,Palmeiras,2,1
1F,1990-10-07,,Atlético Mineiro,Inter de Limeira,1,0
1F,1990-10-07,,Internacional,São José,1,1
1F,1990-10-07,,Botafogo,São Paulo,1,0
1F,1990-10-07,,Santos,Vitória,3,0
1F,1990-10-07,,Goiás,Fluminense,3,0
1F,1990-10-07,,Bragantino,Cruzeiro,3,0
1F,1990-10-07,,Bahia,Grêmio,1,2
1F,1990-10-07,,Portuguesa,Flamengo,0,2
1F,1990-10-07,,Corinthians,Náutico,1,0
Grp.B,1990-10-10,,Fluminense,Náutico,0,0
Grp.B,1990-10-10,,Cruzeiro,Grêmio,4,0
