UF,Clube,Cidade,Série A,R,Série B,P,R,Série C,P,R,Série D,P
RS,Grêmio,Porto Alegre,62,2,2,2,–,0,–,–,0,–
SP,Santos,Santos,61,–,0,–,–,0,–,–,0,–
MG,Cruzeiro,Belo Horizonte,59,1,2,–,–,0,–,–,0,–
SP,Palmeiras,São Paulo,58,2,4,3,–,0,–,–,0,–
MG,Atlético Mineiro,Belo Horizonte,58,1,1,1,–,0,–,–,0,–
RJ,Botafogo,Rio de Janeiro,56,3,3,2,–,0,–,–,0,–
RJ,Flamengo,Rio de Janeiro,56,–,0,–,–,0,–,–,0,–
RJ,Fluminense,Rio de Janeiro,55,1,1,–,1,1,1,–,0,–
RS,Internacional,Porto Alegre,55,1,1,1,–,0,–,–,0,–
SP,São Paulo,São Paulo,54,–,0,–,–,0,–,–,0,–
RJ,Vasco da Gama,Rio de Janeiro,53,4,4,3,–,0,–,–,0,–
SP,Corinthians,São Paulo,53,1,2,2,–,0,–,–,0,–
BA,Bahia,Salvador,49,3,10,4,1,2,1,–,0,–
PR,Athletico Paranaense,Curitiba,45,3,6,4,–,0,–,–,0,–
PE,Sport,Recife,42,5,12,6,–,0,–,–,0,–
GO,Goiás,Goiânia,41,6,10,4,–,0,–,–,0,–
PR,Coritiba,Curitiba,40,6,13,5,–,0,–,–,0,–
BA,Vitória,Salvador,39,6,11,4,1,1,1,–,0,–
SP,Portuguesa,São Paulo,35,3,11,2,1,2,–,1,2,–
PE,Náutico,Recife,34,4,22,4,2,3,2,–,0,–
SP,Guarani,Campinas,29,3,15,4,2,6,2,–,0,–
PA,Paysandu,Belém,27,3,18,2,3,11,2,–,0,–
CE,Ceará,Fortaleza,25,2,30,3,–,0,–,–,0,–
PE,Santa Cruz,Recife,24,5,20,4,2,7,1,–,3,1
SP,Ponte Preta,Campinas,24,3,20,3,1,1,–,–,0,–
CE,Fortaleza,Fortaleza,23,4,18,4,2,14,2,–,0,–
AL,CSA,Maceió,19,3,11,2,–,13,2,–,5,1
RJ,America,Rio de Janeiro,19,1,5,1,–,11,–,–,1,–
MG,América Mineiro,Belo Horizonte,17,6,26,7,1,5,1,–,0,–
SC,Figueirense,Florianópolis,17,3,13,3,1,9,1,–,0,–
RS,Juventude,Caxias do Sul,17,1,13,2,2,5,2,1,3,1
PA,Remo,Belém,16,1,22,3,2,7,2,–,4,1
PR,Paraná,Curitiba,16,3,15,3,1,2,1,–,0,–
AM,Nacional-AM,Manaus,16,1,6,–,1,10,–,–,7,–
RN,América de Natal,Natal,15,3,24,2,4,6,2,1,5,–
ES,Desportiva Ferroviária [DFE],Cariacica,15,2,15,1,2,2,–,–,2,–
RN,ABC,Natal,14,–,21,–,4,11,4,1,2,–
SC,Criciúma,Criciúma,13,4,24,4,4,5,2,–,0,–
SC,Joinville,Joinville,12,3,20,1,2,8,1,1,4,1
MA,Sampaio Corrêa,São Luís,12,–,18,–,3,12,4,1,3,1
GO,Atlético Goianiense,Goiânia,12,2,17,3,1,12,3,–,0,–
SE,Sergipe,Aracaju,12,–,9,–,3,10,1,–,7,–
ES,Rio Branco-ES,Vitória,12,–,4,–,–,5,–,–,4,–
AL,CRB,Maceió,11,–,31,–,2,6,2,–,0,–
SP,Red Bull Bragantino [RBB],Bragança Paulista,11,2,15,2,2,4,2,–,0,–
MA,Moto Club,São Luís,11,1,13,–,1,9,–,1,7,1
RJ,Bangu,Rio de Janeiro,11,1,8,1,1,5,1,–,3,–
PB,Campinense [CAM],Campina Grande,11,–,7,–,1,9,1,1,9,–
SC,Avaí,Florianópolis,10,4,23,4,–,4,1,–,0,–
MS,Operário-MS,Campo Grande,10,–,6,–,–,8,–,–,1,–
GO,Vila Nova,Goiânia,9,–,23,–,4,9,5,–,0,–
PB,Treze [TRE],Campina Grande,9,1,9,1,–,15,–,2,6,1
SC,Chapecoense,Chapecó,9,1,4,2,–,9,1,–,1,1
RJ,Americano,Campos dos Goytacazes,8,–,20,2,2,5,1,–,1,–
SE,Confiança,Aracaju,8,–,10,–,–,20,1,1,2,1
PI,River,Teresina,8,1,10,–,–,9,–,1,5,1
MT,Mixto,Cuiabá,8,2,6,–,–,5,–,1,3,–
PR,Londrina,Londrina,7,–,25,1,2,3,2,–,3,1
SP,São Caetano,São Caetano do Sul,7,1,9,1,1,2,1,1,3,–
AM,Rio Negro,Manaus,7,–,8,–,–,8,–,–,0,–
PB,Botafogo-PB,João Pessoa,7,–,5,–,–,18,–,–,1,1
PI,Flamengo-PI,Teresina,7,–,4,–,–,5,–,–,2,–
SP,Inter de Limeira,Limeira,7,–,4,–,–,5,–,–,1,–
DF,Brasília,Brasília,7,–,3,–,–,3,–,–,3,–
SP,Botafogo-SP,Ribeirão Preto,6,2,16,3,2,7,2,–,3,1
DF,Gama,Gama,6,2,10,1,2,5,2,1,4,–
CE,Ferroviário,Fortaleza,6,2,7,–,–,15,–,–,2,1
PR,Grêmio Maringá,Maringá,6,–,7,–,–,4,–,–,0,–
MG,Uberaba,Uberaba,6,–,5,–,–,3,–,–,2,–
RJ,Goytacaz,Campos dos Goytacazes,6,–,5,–,–,1,–,–,0,–
MS,Comercial-MS,Campo Grande,6,–,4,–,–,6,–,–,3,–
SE,Itabaiana,Itabaiana,5,1,4,–,–,10,–,–,7,–
PI,Tiradentes-PI,Teresina,5,–,4,–,–,1,–,–,0,–
PR,Colorado †,Curitiba,5,–,1,–,–,1,–,–,0,–
SC,Metropol †,Criciúma,5,–,0,–,–,0,–,–,0,–
PA,Tuna Luso,Belém,4,–,14,1,2,7,1,–,0,–
GO,Anapolina,Anápolis,4,–,13,1,1,3,1,–,4,–
RS,Caxias,Caxias do Sul,4,–,11,–,1,16,1,1,5,–
RS,Brasil de Pelotas,Pelotas,4,–,9,–,–,14,2,1,2,1
