Fase,Data,Horário,Mandante,Visitante,Placar Mandante,Placar Visitante
Grp.C/D,1975-08-20,,Internacional,Figueirense,3,1
Grp.C/D,1975-08-20,,Sergipe,São Paulo,0,0
Grp.C/D,1975-08-20,,Desportiva Ferroviária,Vitória,0,0
Grp.A/B,1975-08-20,,Fluminense,Coritiba,0,1
Grp.C/D,1975-08-20,,Goiás,Santos,0,0
Grp.A/B,1975-08-20,,Atlético Paranaense,Botafogo,2,1
Grp.A/B,1975-08-20,,Rio Negro-AM,Tiradentes-PI,1,1
Grp.A/B,1975-08-20,,Moto Club,Paysandu,4,3
Grp.A/B,1975-08-20,,Corinthians,America-RJ,1,0
Grp.A/B,1975-08-20,,Fortaleza,América Mineiro,2,0
Grp.A/B,1975-08-21,,Palmeiras,Guarani,1,1
Grp.C/D,1975-08-21,,Flamengo,Sport,1,2
Grp.A/B,1975-08-23,,Botafogo,Paysandu,2,1
Grp.C/D,1975-08-23,,Vitória,Internacional,0,5
Grp.C/D,1975-08-24,,Vasco,Grêmio,2,1
Grp.C/D,1975-08-24,,Santa Cruz,São Paulo,1,2
Grp.C/D,1975-08-24,,Americano,Santos,2,1
Grp.C/D,1975-08-24,,Campinense,CSA,0,2
Grp.C/D,1975-08-24,,Goiânia,CEUB,2,1
Grp.C/D,1975-08-24,,Bahia,Flamengo,0,0
Grp.C/D,1975-08-24,,América-RN,Desportiva Ferroviária,2,1
Grp.C/D,1975-08-24,,Sergipe,Náutico,2,3
Grp.C/D,1975-08-24,,Figueirense,Sport,0,0
Grp.A/B,1975-08-24,,Moto Club,Ceará,0,3
Grp.A/B,1975-08-24,,Rio Negro-AM,Nacional-AM,0,0
Grp.A/B,1975-08-24,,Atlético Mineiro,Corinthians,0,0
Grp.A/B,1975-08-24,,Remo,Tiradentes-PI,1,0
Grp.A/B,1975-08-24,,Comercial-MS,Cruzeiro,0,0
Grp.A/B,1975-08-24,,Fortaleza,Atlético Paranaense,2,1
Grp.A/B,1975-08-24,,Palmeiras,Fluminense,3,1
Grp.A/B,1975-08-26,,Comercial-MS,Paysandu,2,1
Grp.C/D,1975-08-27,,CSA,América-RN,2,1
Grp.A/B,1975-08-27,,Ceará,America-RJ,0,2
Grp.A/B,1975-08-27,,Cruzeiro,Coritiba,1,0
Grp.C/D,1975-08-27,,Goiânia,Internacional,0,1
Grp.C/D,1975-08-27,,Americano,Grêmio,0,2
Grp.A/B,1975-08-27,,Rio Negro-AM,Atlético Paranaense,2,0
Grp.C/D,1975-08-27,,Portuguesa,Bahia,2,1
Grp.C/D,1975-08-27,,Náutico,Flamengo,1,0
Grp.C/D,1975-08-27,,Desportiva Ferroviária,Santos,1,2
